Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
,AFE,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFE,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.07456187,,61.30496958,,60.15726248,,59.51960845,,58.62996645,,57.790996,,56.96875786,,56.16010222,,55.29414577,,54.83616524,,54.40144301,,56.72095199,,
Afganistán,AFG,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afganistán,AFG,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6,,63.6,,64.80761,,67.24795,,69.68829,,72.12863,,73.3,,73.3,,71.58904,,
,AFW,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFW,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.43140372,,69.15722492,,66.718634,,64.19560023,,61.70110545,,59.15793747,,56.62494052,,54.09836269,,51.58894039,,49.42601781,,47.47226968,,50.47694971,,
Angola,AGO,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,19.7,,19.66039,,25.79191,,31.92344,,38.05496,,44.18648,,50.31801,,56.44953,,62.58105,,62.6,,62.7,,
Albania,ALB,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.17,,14.85,,,,
Albania,ALB,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,,25.5,,23,,20.5,,17.9,,15.4,,12.9,,10.3,,7.8,,5.3,,2.8,,2.7,,
Andorra,AND,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
El mundo árabe,ARB,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.75979541,,43.40306055,,41.16763679,,36.41576566,,33.37676186,,30.66288202,,27.35419473,,24.08022128,,22.92521928,,22.69484848,,23.01057797,,22.1959792,,
Emiratos Árabes Unidos,ARE,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.45,,,,,78.78,,,,,,
Emiratos Árabes Unidos,ARE,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7025,,0.95,,0.95,,0.95,,0.8,,0.65,,0.5,,0.4,,0.25,,0.1,,0.2265,,0.11325,,
Argentina,ARG,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,,,,,25.94
Argentina,ARG,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.29188,,19.56624,,18.84059,,18.11494,,17.3893,,16.66365,,15.93801,,15.2,,14.5,,14.5,,14.5,,14.5,,
Armenia,ARM,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09,,,,8.85,
Armenia,ARM,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79599,,12.30696,,11.81793,,11.3289,,10.83987,,10.35084,,9.86181,,9.37278,,8.88375,,8.39472,,8.39472,,8.39472,,
Samoa Americana,ASM,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa Americana,ASM,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua y Barbuda,ATG,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua y Barbuda,ATG,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6463,,2.6463,,2.6463,,2.6463,,2.6463,,2.6463,,2.64634,,
Australia,AUS,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.04,,,,70.3,,,,,,
Australia,AUS,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,0.165,,0.145,,0.125,,0.105,,0.085,,0.065,,0.045,,0.035,,0.035,,0.035,,0.035,,
Austria,AUT,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.15,,,,,81.63,
Austria,AUT,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,4.4,,4.4,,4.4,,,,,,,,,,,,,,,,0.04663,,
Azerbaiyán,AZE,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaiyán,AZE,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.94,,44.93667,,38.93333,,32.93,,26.92667,,26.92667,,26.92667,,,,,,,,,,,,
Burundi,BDI,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.7,,79.7,,77.04306,,71.68054,,66.31802,,60.9555,,55.59298,,50.23046,,44.86794,,39.50542,,36.8,,36.75168,,
Bélgica,BEL,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.12,,,,,69.92,
Bélgica,BEL,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
Benin,BEN,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89,,,5.27,,,
Benin,BEN,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.86569,,71.47241,,71.07914,,70.68586,,70.29258,,69.89931,,69.50603,,69.11276,,68.71948,,68.3262,,67.93293,,64.01064,,
Burkina Faso,BFA,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63,,,4.47,,,
Burkina Faso,BFA,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.21152,,76.64539,,71.07927,,65.51314,,59.94701,,54.38089,,48.81476,,43.24863,,37.6825,,32.11638,,26.55025,,87.88175,,
Bangladesh,BGD,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13,,,,,,5.62,,,,,,,,
Bangladesh,BGD,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.31077,,57.66662,,57.02246,,56.3783,,55.73415,,55.08999,,54.44584,,53.80168,,53.15752,,52.51337,,51.86921,,51.50833,,
Bulgaria,BGR,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.18,,,,,39.41,
Bulgaria,BGR,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.1,,0.1,,0.1,,0.15,,0.15,,0.15,,0.2,,0.2,,0.2,,0.25,,0.19661,,
Bahrein,BHR,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
