Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFE,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afganistán,AFG,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979344507.8,2023034713,2143951791,2480214114,2435844906,2485331046,2580623924,2587774667,2529865268,2596917266,2596050086,2751986639,2678760424,2661685957,3040072312,3555784340,3393247242,3428116976,3344095867
,AFW,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7288778066,8591895991,9000344459,10059207811,10571384638,11292755788,11502043062,10545818708,9948274153,10784076260,10673241870,9763465564,8776917205,9119036719,9114598189,9801188918,12238371900,9905180986,11941803691,15596027679,20277281253,26795572705,34679553283,36165323895,43350110779,45924334306,48771532654,57434097528,58745881699,61791490177,62292159790,65405244104,66019700769,60445747533,57273124301,58733063314
Albania,ALB,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511485756.3,632621789.2,786033591.2,883115193.8,458862737.5,491993448.6,517675961.3,624791791.8,773092900.6,1122055223,1154309753,1180989822,1550807968,1604463699,2126952749,2517944833,2968003034,4258015319,4606466991,5437682811,6485279265,7385570078,8648154911,8512992906,8447105963,8516021768,9801555134,9651016802,9274431083,10477651759,11054994588,10420148491,11315021853,10712630801
Andorra,AND,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiratos Árabes Unidos,ARE,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",,,,,,,,,,,5893191434,6353903965,6893803268,7374621351,7798525658,7901576053,9501611015,11675739426,13507657038,21176835027,27322463713,35809463188,43787004262,46108319455,49060805833,51156733946,52688148844,58722673497,59015245404,65538413075,62477601312,65672366930,68605638952,64681387080,75094061336,98773122013,1.11146E+11,1.28251E+11,1.41505E+11,1.51914E+11,1.50063E+11,1.5265E+11,1.4832E+11,1.63443E+11,1.68E+11,1.30788E+11,1.18921E+11,1.20818E+11,1.29751E+11,1.33694E+11,1.26642E+11,1.42884E+11,1.39877E+11,1.50224E+11,1.53793E+11,1.77184E+11,1.81637E+11,2.25924E+11,2.77826E+11,2.80684E+11,2.55603E+11,2.46114E+11,2.48977E+11,2.52794E+11,2.42357E+11
