year,deuda,pib,interes,tipoc
1993,131852484881,530160763663,-17.25,3.115616667
1994,139914928843,553618247901,10.10,3.375116667
1995,166734035993,380157469867,14.86,6.419425
1996,157582830604,432157945024,7.65,7.599448417
1997,148844858128,523449530464,3.74,7.91846
1998,171132230334,557461102631,9.20,9.13604175
1999,185863562592,631249359702,7.30,9.5603975
2000,178113615415,742061329749,5.63,9.455558333
2001,202572533843,796064590549,5.94,9.342341667
2002,193461604963,810666116402,2.57,9.655958333
2003,199260698325,765549967703,2.63,10.78901917
2004,210040194664,819459227375,-0.63,11.28596667
2005,218225512951,917571853529,3.60,10.89789167
2006,221829065157,1020265057882,1.32,10.89924167
2007,250650606340,1102355554972,1.35,10.92819167
2008,248240107870,1161553459715,2.25,11.12971667
2009,250545865969,943437415025,1.73,13.513475
2010,312338399291,1105424238731,0.87,12.63600833
2011,351694706992,1229013703417,-0.72,12.423325
2012,432987558051,1255110424818,0.13,13.16945833
2013,504135518878,1327436290283,2.52,12.77199167
2014,544166999709,1364507717614,-0.78,13.29245
2015,538015200056,1213294467717,0.21,15.84826667
2016,544792453300,1112233497453,-1.25,18.66405833
2017,578638429805,1190721475906,0.72,18.92651667
2018,602000702060,1256300182880,2.70,19.24434167
2019,617449991504,1304106203902,3.94,19.26363333
2020,616686384395,1121064767308,1.65,21.48560833
2021,601471659898,1316569466686,0.39,20.27240833
2022,585861539733,1466934724293,1.42,20.12735
2023,595981151218,1798317581487,6.63,17.75871667
2024,591255026725,1856365616166,6.02,18.30485833
